# data/department.txt
#
# A mapping of normalized department name to its replacement.

# ORIGINAL NORMALIZED DEPARTMENT NAME                                                           # REPLACEMENT DEPARTMENT NAME                           # NOTES
APMA                                                                                            | Applied Mathematics
Planning Dept AR-Planning Dept PV-Summer & Spec Acad Progs AR-Planning Dept AS-Equity Center    | Urban and Environmental Planning
Planning Dept BU-Parking Operations Architecture                                                | Urban and Environmental Planning
Planning Dept, EN-Eng Sys and Environment                                                       | Urban and Environmental Planning
Psychiatry and NB Sciences                                                                      | Psychiatry and Neurobehavioral Sciences
Public Health Sciences Admin                                                                    | Public Health Sciences
Public Policy and Leadership                                                                    | Leadership and Public Policy
Research & Learning Services General                                                            | Research & Learning Services
Research CAVS                                                                                   | Center for Advanced Vision Science
SDAD                                                                                            | Social and Decision Analytics
SE Initiative                                                                                   | Social Entrepreneurship Initiative
SH Student Disab Access Ctr                                                                     | Student Disability Access Center
SIE                                                                                             | Systems and Information Engineering
Spanish Italian Portuguese                                                                      | Spanish, Italian & Portuguese
Spanish, Italian, and Portuguese                                                                | Spanish, Italian & Portuguese
Student Financial Services Operating                                                            | Student Financial Services
Summer & Spec Acad Progs Engineering Grad Non-Degree                                            | Summer and Special Academic Programs
Trans Hlth Res Inst Va                                                                          | iTHRIV
UVA Career Center                                                                               | Career Center
UVA Health Analytics                                                                            | Health Analytics
UVa Library                                                                                     | Academic Preservation Trust                           | Special case from LibraOpen data.
UVa Library / Academic Preservation Trust                                                       | Academic Preservation Trust
University Library                                                                              | UVA Library
University of Virginia Library                                                                  | UVA Library
Urban & Environmental Planning                                                                  | Urban and Environmental Planning
Urban/Environmental Planning                                                                    | Urban and Environmental Planning
YTNX                                                                                            | Youth-Nex
